Age,AGB,Age round,Series,Age
24.3765,399.1742,2.40E+01,6,2.20E+01
25.4144,397.5377,2.50E+01,6,2.30E+01
26.5327,404.669,2.70E+01,6,2.50E+01
27.2515,409.8784,2.70E+01,6,2.50E+01
28.1831,410.5241,2.80E+01,6,2.60E+01
28.9283,407.9083,2.90E+01,6,2.70E+01
-5.96E-03,375.9085,0.00E+00,7,-2.00E+00
1.0587,374.2774,1.00E+00,7,-1.00E+00
2.3888,345.5226,2.00E+00,7,0.00E+00
3.2915,258.1846,3.00E+00,7,1.00E+00
4.2234,267.5819,4.00E+00,7,2.00E+00
5.1286,276.5133,5.00E+00,7,3.00E+00
6.513,286.0006,7.00E+00,7,5.00E+00
8.0836,296.446,8.00E+00,7,6.00E+00
9.4418,319.7465,9.00E+00,7,7.00E+00
9.8679,325.8192,1.00E+01,7,8.00E+00
10.5335,336.0849,1.10E+01,7,9.00E+00
11.3323,343.1527,1.10E+01,7,9.00E+00
12.2641,348.8652,1.20E+01,7,1.00E+01
12.3439,349.3416,1.20E+01,7,1.00E+01
13.2225,354.1222,1.30E+01,7,1.10E+01
14.1544,366.7439,1.40E+01,7,1.20E+01
15.2193,374.3252,1.50E+01,7,1.30E+01
17.0829,388.0531,1.70E+01,7,1.50E+01
17.9603,350.4567,1.80E+01,7,1.60E+01
18.8921,358.4722,1.90E+01,7,1.70E+01
19.6377,368.2932,2.00E+01,7,1.80E+01
21.4216,388.9144,2.10E+01,7,1.90E+01
20.5429,377.2247,2.10E+01,7,1.90E+01
22.3534,393.7057,2.20E+01,7,2.00E+01
23.4447,394.8436,2.30E+01,7,2.10E+01
24.4563,398.7294,2.40E+01,7,2.20E+01
25.4412,398.9249,2.50E+01,7,2.30E+01
26.5061,405.1244,2.70E+01,7,2.50E+01
27.2781,408.9626,2.70E+01,7,2.50E+01
28.2896,410.5453,2.80E+01,7,2.60E+01
28.9548,404.6893,2.90E+01,7,2.70E+01
0.0202,360.2528,0.00E+00,8,-2.00E+00
1.0585,366.9075,1.00E+00,8,-1.00E+00
2.3627,365.324,2.00E+00,8,0.00E+00
3.4248,264.6597,3.00E+00,8,1.00E+00
4.223,254.6846,4.00E+00,8,2.00E+00
5.208,258.5651,5.00E+00,8,3.00E+00
6.5659,273.1138,7.00E+00,8,5.00E+00
8.1098,277.5659,8.00E+00,8,6.00E+00
9.1216,290.2035,9.00E+00,8,7.00E+00
9.6542,299.5215,1.00E+01,8,8.00E+00
10.1867,303.3122,1.00E+01,8,8.00E+00
10.7189,303.4179,1.10E+01,8,9.00E+00
11.3845,305.3925,1.10E+01,8,9.00E+00
12.3163,312.0261,1.20E+01,8,1.00E+01
13.3014,322.8159,1.30E+01,8,1.10E+01
14.2333,331.2921,1.40E+01,8,1.20E+01
15.1914,326.8761,1.50E+01,8,1.30E+01
16.3094,332.6255,1.60E+01,8,1.40E+01
17.0816,337.385,1.70E+01,8,1.50E+01
18.0666,343.1078,1.80E+01,8,1.60E+01
18.9452,352.9553,1.90E+01,8,1.70E+01
19.6642,363.2317,2.00E+01,8,1.80E+01
20.596,371.2472,2.10E+01,8,1.90E+01
21.4481,382.0105,2.10E+01,8,1.90E+01
22.3798,387.2623,2.20E+01,8,2.00E+01
23.418,389.3109,2.30E+01,8,2.10E+01
24.4027,385.8215,2.40E+01,8,2.20E+01
25.4142,386.0223,2.50E+01,8,2.30E+01
26.5323,389.4686,2.70E+01,8,2.50E+01
27.2776,392.8409,2.70E+01,8,2.50E+01
28.1561,396.7003,2.80E+01,8,2.60E+01
28.9538,364.6154,2.90E+01,8,2.70E+01
0.0201,353.3435,0.00E+00,9,-2.00E+00
1.0847,352.6336,1.00E+00,9,-1.00E+00
2.389,351.0501,2.00E+00,9,0.00E+00
4.3293,247.7964,4.00E+00,9,2.00E+00
5.128,258.0886,5.00E+00,9,3.00E+00
6.6722,267.1469,7.00E+00,9,5.00E+00
8.0564,271.5673,8.00E+00,9,6.00E+00
9.1216,288.361,9.00E+00,9,7.00E+00
9.6542,298.1397,1.00E+01,9,8.00E+00
9.7341,299.0768,1.00E+01,9,8.00E+00
10.1867,302.8516,1.00E+01,9,8.00E+00
10.7191,303.8784,1.10E+01,9,9.00E+00
11.3845,304.9319,1.10E+01,9,9.00E+00
12.3961,311.1208,1.20E+01,9,1.00E+01
13.3014,321.8947,1.30E+01,9,1.10E+01
14.1535,330.8155,1.40E+01,9,1.20E+01
15.2181,326.4208,1.50E+01,9,1.30E+01
15.1914,326.4155,1.50E+01,9,1.30E+01
16.3094,332.6255,1.60E+01,9,1.40E+01
16.3362,333.0914,1.60E+01,9,1.40E+01
17.1082,337.8509,1.70E+01,9,1.50E+01
18.04,342.642,1.80E+01,9,1.60E+01
18.9186,352.4894,1.90E+01,9,1.70E+01
19.6907,362.7763,2.00E+01,9,1.80E+01
20.6226,371.2525,2.10E+01,9,1.90E+01
21.4745,375.5671,2.10E+01,9,1.90E+01
22.4329,379.4423,2.20E+01,9,2.00E+01
23.3913,385.16,2.30E+01,9,2.10E+01
24.4027,383.0578,2.40E+01,9,2.20E+01
25.4407,380.5001,2.50E+01,9,2.30E+01
26.5855,388.5579,2.70E+01,9,2.50E+01
27.2776,392.8409,2.70E+01,9,2.50E+01
27.2777,393.3014,2.70E+01,9,2.50E+01
28.1295,397.1556,2.80E+01,9,2.60E+01
28.9546,399.1619,2.90E+01,9,2.70E+01
0.0196,338.143,0.00E+00,10,-2.00E+00
1.1376,340.2074,1.00E+00,10,-1.00E+00
2.362,338.1474,2.00E+00,10,0.00E+00
3.318,254.9655,3.00E+00,10,1.00E+00
4.2495,249.1625,4.00E+00,10,2.00E+00
5.1812,251.1899,5.00E+00,10,3.00E+00
6.6454,262.0748,7.00E+00,10,5.00E+00
8.0563,265.1186,8.00E+00,10,6.00E+00
9.1746,278.6985,9.00E+00,10,7.00E+00
9.8401,286.2006,1.00E+01,10,8.00E+00
10.2662,290.4307,1.00E+01,10,8.00E+00
10.772,291.913,1.10E+01,10,9.00E+00
11.4375,293.8876,1.10E+01,10,9.00E+00
12.3693,300.0606,1.20E+01,10,1.00E+01
13.3277,309.4633,1.30E+01,10,1.10E+01
14.2594,312.4119,1.40E+01,10,1.20E+01
15.2174,302.9292,1.50E+01,10,1.30E+01
16.3888,311.9135,1.60E+01,10,1.40E+01
17.1609,318.5154,1.70E+01,10,1.50E+01
18.0397,331.1265,1.80E+01,10,1.60E+01
18.9449,342.8216,1.90E+01,10,1.70E+01
19.7436,346.2046,2.00E+01,10,1.80E+01
20.7287,355.6125,2.10E+01,10,1.90E+01
21.554,363.1463,2.20E+01,10,2.00E+01
22.5123,365.6396,2.30E+01,10,2.10E+01
23.3375,365.3428,2.30E+01,10,2.10E+01
24.1891,359.9845,2.40E+01,10,2.20E+01
25.4402,362.9966,2.50E+01,10,2.30E+01
26.6116,369.6778,2.70E+01,10,2.50E+01
27.4369,374.4478,2.70E+01,10,2.50E+01
28.2089,378.7467,2.80E+01,10,2.60E+01
28.9276,378.8894,2.90E+01,10,2.70E+01
0.0192,321.5607,0.00E+00,11,-2.00E+00
1.2437,323.1857,1.00E+00,11,-1.00E+00
2.3083,322.0152,2.00E+00,11,0.00E+00
3.4511,254.0707,3.00E+00,11,1.00E+00
4.3559,247.8016,4.00E+00,11,2.00E+00
5.2344,249.358,5.00E+00,11,3.00E+00
6.6719,254.7102,7.00E+00,11,5.00E+00
8.0828,263.2814,8.00E+00,11,6.00E+00
9.2009,269.4914,9.00E+00,11,7.00E+00
9.8931,274.2349,1.00E+01,11,8.00E+00
10.3723,277.0939,1.00E+01,11,8.00E+00
10.7983,280.8634,1.10E+01,11,9.00E+00
11.4372,284.2146,1.10E+01,11,9.00E+00
12.3956,288.5504,1.20E+01,11,1.00E+01
13.3008,297.0212,1.30E+01,11,1.10E+01
14.2591,300.8963,1.40E+01,11,1.20E+01
15.244,302.0132,1.50E+01,11,1.30E+01
16.442,307.3178,1.60E+01,11,1.40E+01
17.2141,315.3016,1.70E+01,11,1.50E+01
18.0927,323.3066,1.80E+01,11,1.60E+01
19.0512,334.5516,1.90E+01,11,1.70E+01
19.77,338.3793,2.00E+01,11,1.80E+01
20.755,344.5629,2.10E+01,11,1.90E+01
21.5537,349.7883,2.20E+01,11,2.00E+01
22.5653,355.9771,2.30E+01,11,2.10E+01
23.3639,361.6631,2.30E+01,11,2.10E+01
24.2156,355.3836,2.40E+01,11,2.20E+01
25.4399,351.0205,2.50E+01,11,2.30E+01
26.6644,353.5667,2.70E+01,11,2.50E+01
27.3831,353.7094,2.70E+01,11,2.50E+01
28.1017,350.1671,2.80E+01,11,2.60E+01
29.0328,332.8485,2.90E+01,11,2.70E+01
-8.98E-03,262.596,0.00E+00,12,-2.00E+00
1.1088,257.2906,1.00E+00,12,-1.00E+00
2.2268,258.4338,2.00E+00,12,0.00E+00
3.4243,249.9199,3.00E+00,12,1.00E+00
4.4356,239.5264,4.00E+00,12,2.00E+00
5.2875,244.3017,5.00E+00,12,3.00E+00
6.6717,248.2615,7.00E+00,12,5.00E+00
8.1093,256.838,8.00E+00,12,6.00E+00
9.254,264.4352,9.00E+00,12,7.00E+00
9.9196,268.7128,1.00E+01,12,8.00E+00
10.4254,271.577,1.00E+01,12,8.00E+00
10.8514,274.8859,1.10E+01,12,9.00E+00
11.4371,279.1478,1.10E+01,12,9.00E+00
12.4221,286.2526,1.20E+01,12,1.00E+01
