"","Study","Site_ID","Vol_log2","Tree_ex_ha2","Method","Prop_dam","Prop_dam2","Prop_seve_dam","Region"
"23","Johns et al 1996","Johns et al 1996-2",37,4.5,"Conventional",NA,0.187664439156418,NA,"Americas"
"24","Jonkers 2000","Jonkers 2000-1",11.2644628460304,1.424242424,"Conventional",NA,NA,NA,NA
"25","Jonkers 2000","Jonkers 2000-2",11.2363815288468,1.393939394,"Conventional",0.058849558,0.058849558,NA,NA
"26","Kao and Iidu 2006","Kao and Iidu 2006-1",29.138332776148,3,"Conventional",NA,NA,NA,NA
"27","Medjibe et al 2011","Medjibe et al 2011-1",8.11,0.82,"RIL",NA,0.0788944688039675,NA,"Africa"
"28","Medjibe et al 2013","Medjibe et al 2013-1",5.7,0.39,"RIL",0.011674342,0.011674342,NA,"Africa"
"29","Medjibe et al 2013","Medjibe et al 2013-2",11.4,0.76,"Conventional",0.041043928,0.041043928,NA,"Africa"
"30","Miller et al 2011","Miller et al 2011-1",14.6002347279983,3.6,"RIL",NA,NA,NA,NA
"31","Nicholson et al 1979","Nicholson et al 1979-1",37.9,4.7,"Conventional",0.437,0.437,0.298,"Asia"
"32","Nicholson et al 1979","Nicholson et al 1979-2",102.749858152808,18.3,"Conventional",0.536,0.536,NA,NA
"33","Nicholson et al 1979","Nicholson et al 1979-3",108.848351646169,19,"Conventional",NA,NA,0.58,NA
"34","Nicholson et al 1979","Nicholson et al 1979-4",48.1588231158359,9.1,"Conventional",NA,NA,0.4,NA
"35","Nicholson et al 1979","Nicholson et al 1979-5",65.3180871717818,12.8,"Conventional",NA,NA,0.51,NA
"36","Nicholson et al 1979","Nicholson et al 1979-6",60.6510561522517,11.9,"Conventional",NA,NA,0.43,NA
"37","Nicholson et al 1979","Nicholson et al 1979-7",85.719991993819,16.1,"Conventional",NA,NA,0.47,NA
"38","Nicholson et al 1988","Nicholson et al 1988-1",66,26,"Conventional",NA,NA,0.16,"Asia"
"41","Nicholson et al 1988","Nicholson et al 1988-4",107.955463016249,18.9,"Conventional",NA,NA,0.16,NA
"43","Nicholson et al 1988","Nicholson et al 1988-6",101.906995778844,18.2,"Conventional",NA,NA,0.289,NA
"44","Nicholson et al 1988","Nicholson et al 1988-7",116.262515301699,19.8,"Conventional",NA,NA,0.358,NA
"45","Nicholson et al 1988","Nicholson et al 1988-8",36.6,6.6,"Conventional",NA,NA,0.181,"Asia"
"46","Nicholson et al 1988","Nicholson et al 1988-9",42.1,7.6,"Conventional",NA,NA,0.204,"Asia"
"47","Parren et al 2001","Parren et al 2001-1",13,1,"RIL",NA,0.0698812200662133,NA,"Africa"
"48","Parren et al 2001","Parren et al 2001-2",13,1,"Conventional",NA,0.0548018117486052,NA,"Africa"
"49","Pinard and Putz 1996","Pinard and Putz 1996-1",153.5,19.8494704345163,"Conventional",0.65,0.65,NA,"Asia"
"50","Pinard and Putz 1996","Pinard and Putz 1996-2",103.75,11.4616510138368,"RIL",0.38,0.38,NA,"Asia"
"51","Sist and Nguyen 2002","Sist and Nguyen 2002-1",36.3956910040433,5.7,"Conventional",0.301,0.301,NA,NA
"52","Sist and Nguyen 2002","Sist and Nguyen 2002-2",45.0876922779042,8.3,"Conventional",0.435,0.435,NA,NA
"53","Sist and Nguyen 2002","Sist and Nguyen 2002-3",71.5126731999252,13.9,"Conventional",0.584,0.584,NA,NA
"54","Sist et al 2003","Sist et al 2003-1",60,7.5,"RIL",0.379,0.379,NA,"Asia"
"55","Sist et al 2003","Sist et al 2003-2",83,7.6,"Conventional",0.508,0.508,NA,"Asia"
"56","Sist et al 2007","Sist et al 2007-1",21,6.3,"RIL",0.2,0.2,NA,"Americas"
"57","Uhl et al 1991","Uhl et al 1991-1",16,2,"Conventional",0.117171717,0.117171717,NA,"Americas"
"58","van de Hout 1999","van de Hout 1999-1",16,4,"RIL",0.134,0.134,0.056,"Americas"
"59","van de Hout 1999","van de Hout 1999-2",25.86666667,8,"RIL",0.203921569,0.203921569,0.064705882,"Americas"
"60","van de Hout 1999","van de Hout 1999-3",46.93333333,16,"RIL",0.324384787,0.324384787,0.127516779,"Americas"
"61","van de Hout 1999","van de Hout 1999-4",50.06666667,16,"Conventional",0.26252505,0.26252505,0.068136273,"Americas"
"62","van de Hout 1999","van de Hout 1999-5",25.06666667,8,"Conventional",0.358241758,0.358241758,0.096703297,"Americas"
"63","Verissimo et al 1992","Verissimo et al 1992-1",18,3,"Conventional",0.27,0.27,NA,"Americas"
"64","Verissimo et al 1992","Verissimo et al 1992-2",35,7,"Conventional",0.35,0.35,NA,"Americas"
"65","Verissimo et al 1992","Verissimo et al 1992-3",62,9,"Conventional",0.43,0.43,NA,"Americas"
"66","Verissimo et al 1995","Verissimo et al 1995-1",1.3,0.3,"Conventional",NA,0.0361206593340026,NA,"Americas"
"67","Verissimo et al 1995","Verissimo et al 1995-2",2.5,0.2,"Conventional",NA,0.0382750981025224,NA,"Americas"
"68","Verissimo et al 1995","Verissimo et al 1995-3",11.4,2.1,"Conventional",NA,0.0911935777926461,NA,"Americas"
"69","Webb et al 1997","Webb et al 1997-1",45.8,6.3,"Conventional",0.17,0.17,NA,"Americas"
"70","White 2009","White 2009-1",11.8115440110647,2,"Conventional",0.177,0.177,NA,NA
"71","White 2009","White 2009-2",11.8115440110647,2,"Conventional",0.108,0.108,NA,NA
"72","Whitman et al 1997","Whitman et al 1997-1",11.3100790059099,0.5,"Conventional",0.65,0.048,NA,NA
