Study,Site,Age,Method,Vol,MU,VU,SSU,ML,VL,SSL,VarT,ID,Allometry,Region,N_Logged,Lat,Long,Type
Pfeifer et al 2013,Pfeifer et al 2013-8,10,Conventional,179,565.1041496,328.677753,9,58.76602617,46.16436693,16,SD,21,Allometric - height,Asia & Oceania,2,4.633333,116.95,Aboveground biomass
Pfeifer et al 2013,Pfeifer et al 2013-9,10,Conventional,179,565.1041496,328.677753,9,68.78087386,65.25066726,16,SD,21,Allometric - height,Asia & Oceania,2,4.633333,116.95,Aboveground biomass
Pfeifer et al 2013,Pfeifer et al 2013-10,10,Conventional,150,565.1041496,328.677753,9,92.93852309,44.10157135,9,SD,21,Allometric - height,Asia & Oceania,2,4.633333,116.95,Aboveground biomass
Pinard et al 1996,Pinard et al 1996-2,0,RIL,103.5835,327.54,54.0371067,4,211.78,18.6400617,4,SD,22,Allometric - no height,Asia & Oceania,1,4.416667,117.483333,Aboveground biomass
Pinard et al 1996,Pinard et al 1996-1,0,Conventional,154.482125,333.47,40.73364703,4,135.8,20.75198304,4,SD,23,Allometric - no height,Asia & Oceania,1,4.416667,117.483333,Aboveground biomass
Saner et al 2012,Saner et al 2012-1,0,Conventional,117.38,256,26.8,4,183.8,5.8,4,SE,24,Allometric - no height,Asia & Oceania,1,5.088889,117.642222,Aboveground biomass
Tangki et al 2008,Tangki et al 2008-1,11,Conventional,101.2,427.495,109.3250955,10,218.31,185.9464001,45,SD,25,Allometric - no height,Asia & Oceania,1,5.038963,117.815795,Aboveground biomass
Woodcock et al 2011,Woodcock et al 2011a,3,Conventional,160,Species richness,100,2.4,6,87.7,3.1,6,SE,Invertebrates,Asia & Oceania,Asia & Oceania,4.9667,117.8,Species richness
Gradstein et al 2007,Gradstein et al 2007-1,-9999,Conventional,-9999,Species richness,55.8,5.5,4,48.3,4,4,SD,Plant,Asia & Oceania,Asia & Oceania,-1.535842,120.136764,Species richness
Berry et al 2008,Berry et al 2008-1,18,Conventional,92.4,Species richness,407.4238,10.38382653,15,434.1605,11.48341837,15,SE,Plant,Asia & Oceania,Asia & Oceania,4.965088,117.690375,Species richness
Yap et al 2007,Yap et al 2007-1,30,Conventional,46,Species richness,32.8,1,7,31.2,0.9,7,SD,Birds,Asia & Oceania,Asia & Oceania,2.285237,103.146408,Species richness
Yap et al 2007,Yap et al 2007-2,30,Conventional,46,Species richness,25.7,1.1,7,23.1,0.9,7,SD,Birds,Asia & Oceania,Asia & Oceania,2.043024,103.531981,Species richness
Willott et al 2000,Willott et al 2000-1,15,Conventional,70,Species richness,120,3,4,143,4,4,CI,Invertebrates,Asia & Oceania,Asia & Oceania,4.966667,117.8,Species richness
Cannon et al 1998,Cannon et al 1998-1,1,Conventional,-9999,Species richness,111.8695,-9999,12,88.0168,-9999,12,SD,Plant,Asia & Oceania,Asia & Oceania,-1.166667,110.333333,Species richness
Foody et al 2003,Foody et al 2003-1,10,Conventional,-9999,Species richness,21.55415,-9999,10,17.9,-9999,30,SD,Plant,Asia & Oceania,Asia & Oceania,4.966667,110.333333,Species richness
Sist el al ,Sist el al ,,,,,,,,,,,,,,,5.3,-52.91666667,Aboveground biomass
Sist el al ,Sist el al ,,,,,,,,,,,,,,,5.3,-52.91666667,Aboveground biomass
Rockwell et al 2014,Rockwell et al 2014,,,,,,,,,,,,,,,-10,-66.83333333,Aboveground biomass
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
