Study,Site,Age,Method,Basal_area_logged,Prop_BA_logged,Vol_per_ha,Tree_extacted_per_ha,Damaged per tree extracted,Damage_no_ha,Severe_dam_per_tree,Severe_dam_per_ha,BA_damaged,Prop_BA_damaged,Prop_severe_dam,Damage_prop,ID,Allometry,Region,N_Logged,Plot_size,Notes
Forshed et al 2006,Forshed et al 2006-2,,RIL,6.1,,,9.4,,159.6,,,4.7,0.18875502,,0.325050916,29,,Asia,1,,
Forshed et al 2006,Forshed et al 2006-3,,Conventional,8.6,,,13,,179,,,5.9,0.236,,0.370677159,30,,Asia,1,,
Forshed et al 2006,Forshed et al 2006-4,,RIL,5.9,,,9.4,,170.4,,,5.9,0.231372549,,0.358887953,31,,Asia,1,,
Iskander et al 2006,Iskander et al 2006-1,,Conventional,,,,1,13.6,27,,,,,,,32,,Asia,,,
Iskander et al 2006,Iskander et al 2006-2,,Conventional,,,,4,7.8,9,,,,,,,33,,Asia,,,
Iskander et al 2006,Iskander et al 2006-3,,Conventional,,,,3,9.9,41,,,,,,,34,,Asia,,,
Iskander et al 2006,Iskander et al 2006-4,,Conventional,,,,4,11.2,25,,,,,,,35,,Asia,,,
Johns et al 1996,Johns et al 1996-1,,Conventional,2.3,,30,5.6,34.7,124,9.4,,,,,,36,,Americas,,,
Johns et al 1996,Johns et al 1996-2,,Conventional,2.2,,37,4.5,50.9,64,14.6,,,,,,37,,Americas,,,
Jonkers 2000,Jonkers 2000-1,,Conventional,,,,1.424242424,,39.06060606,,,,,,,38,,Africa,,,
Jonkers 2000,Jonkers 2000-2,,Conventional,,,,1.393939394,,26.09090909,,,,,,0.058849558,39,,Africa,,,
Medjibe et al 2011,Medjibe et al 2011-1,,RIL,,,8.11,0.82,,26.6,,,,,,,40,,Africa,,,
Pinard and Putz 1996,Pinard and Putz 1996-1,,Conventional,,,153.5,,,,,,,,,0.65,41,,Asia,,0.16,
Pinard and Putz 1996,Pinard and Putz 1996-2,,RIL,,,103.75,,,,,,,,,0.38,42,,Asia,,0.16,
Sist and Nguyen 2002,Sist and Nguyen 2002-1,,Conventional,,,,5.7,,,,,,,,0.301,43,,Asia,,1,
Sist and Nguyen 2002,Sist and Nguyen 2002-2,,Conventional,,,,8.3,,,,,,,,0.435,44,,Asia,,1,
Sist and Nguyen 2002,Sist and Nguyen 2002-3,,Conventional,,,,13.9,,,,,,,,0.584,45,,Asia,,1,
Sist et al 2003,Sist et al 2003-1,,RIL,3.8,,60,7.5,,95,,,,,,0.379,46,,Asia,,,
Sist et al 2003,Sist et al 2003-2,,Conventional,5.4,,83,7.6,,123,,,,,,0.508,47,,Asia,,,
Verissimo et al 1992,Verissimo et al 1992-1,,Conventional,,,18,3,41,120,,,5,,,0.27,48,,Americas,,0.03,
Verissimo et al 1992,Verissimo et al 1992-2,,Conventional,,,35,7,19,130,,,6.6,,,0.35,49,,Americas,,,
Verissimo et al 1992,Verissimo et al 1992-3,,Conventional,,,62,9,20,193,,,7.6,,,0.43,50,,Americas,,,
Verissimo et al 1995,Verissimo et al 1995-1,,Conventional,,,1.3,0.3,43,12.8,,,,,,,51,,Americas,,,
Verissimo et al 1995,Verissimo et al 1995-2,,Conventional,,,2.5,0.2,32,13.5,,,,,,,52,,Americas,,,
Verissimo et al 1995,Verissimo et al 1995-3,,Conventional,,,11.4,2.1,15,30.6,,,,,,,53,,Americas,,,
Webb et al 1997,Webb et al 1997-1,,Conventional,,,45.8,6.3,,,,,,,,0.17,54,,Americas,,,
Whitman et al 1997,Whitman et al 1997-1,,Conventional,,,,0.5,49.4,,,,,,,0.65,55,,Americas,,,
Whitmore et al 1989,Whitmore et al 1989-1,,Conventional,2.586923077,,,,,,,,,,,0.386,56,,Americas,,,
Nicholson et al 1979,Nicholson et al 1979-1,,Conventional,,,37.9,4.7,,,,,,,0.298,0.437,57,,Asia,,,
Nicholson et al 1979,Nicholson et al 1979-2,,Conventional,,,,18.3,,,,,,,,0.536,58,,Asia,,,
Abdulhadi et al 1981,Abdulhadi et al 1981-1,,Conventional,,,,11,,,,,,,,0.236,59,,Asia,,,
Nicholson et al 1979,Nicholson et al 1979-3,,Conventional,,,,19,,,,,,,0.58,,,,Asia,,,
Nicholson et al 1979,Nicholson et al 1979-4,,Conventional,,,,9.1,,,,,,,0.4,,,,Asia,,,
Nicholson et al 1979,Nicholson et al 1979-5,,Conventional,,,,12.8,,,,,,,0.51,,,,Asia,,,
Nicholson et al 1979,Nicholson et al 1979-6,,Conventional,,,,11.9,,,,,,,0.43,,,,Asia,,,
Nicholson et al 1979,Nicholson et al 1979-7,,Conventional,,,,16.1,,,,,,,0.47,,,,Asia,,,
Nicholson et al 1988,Nicholson et al 1988-1,,Conventional,,,66,26,,,,,,,0.16,,,,Asia,,,
Nicholson et al 1988,Nicholson et al 1988-2,,Conventional,,,,32.7,,,,,,,0.299,,,,Asia,,,
Nicholson et al 1988,Nicholson et al 1988-3,,Conventional,,,,39.5,,,,,,,0.213,,,,Asia,,,
Nicholson et al 1988,Nicholson et al 1988-4,,Conventional,,,,18.9,,,,,,,0.16,,,,Asia,,,
Nicholson et al 1988,Nicholson et al 1988-5,,Conventional,,,,25.6,,,,,,,0.294,,,,Asia,,,
Nicholson et al 1988,Nicholson et al 1988-6,,Conventional,,,,18.2,,,,,,,0.289,,,,Asia,,,
Nicholson et al 1988,Nicholson et al 1988-7,,Conventional,,,,19.8,,,,,,,0.358,,,,Asia,,,
Nicholson et al 1988,Nicholson et al 1988-8,,Conventional,,,36.6,6.6,,,,,,,0.181,,,,Asia,,,
Nicholson et al 1988,Nicholson et al 1988-9,,Conventional,,,42.1,7.6,,,,,,,0.204,,,,Asia,,,
