Study,Method,Minimum DBH of trees cut (cm),Illegal/Legal,Extaction methods,Lianas cut prior to logging,Planned road building & skidder routes,Planned extraction,Directional felling,Lighter machinery,Training,Supervision,Silvicultural treatments,Exclusion of steep slopes
van de Hout 1999,RIL,,Legal,NA,,Yes,Yes,Yes,NA,Yes,Yes,NA,NA
van de Hout 1999,Conventional,,Legal,NA,,NA,NA,NA,NA,NA,NA,NA,NA
van de Hout 1999,Conventional,,Legal,NA,,NA,NA,NA,NA,NA,NA,NA,NA
Verissimo et al 1992,Conventional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Verissimo et al 1992,Conventional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Verissimo et al 1992,Conventional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Villela et al 2006,Conventional,NA,Illegal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Webb et al 1997,Conventional,60,Legal,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Webb et al 1997,Conventional,60,Legal,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Webb et al 1997,Conventional,60,Legal,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Webb et al 1997,Conventional,60,Legal,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Webb et al 1997,Conventional,60,Legal,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Webb et al 1997,Conventional,60,Legal,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Webb et al 1997,Conventional,60,Legal,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Webb et al 1998,RIL,70,NA,Small bulldozer,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA
Webb et al 1998,RIL,70,NA,Small bulldozer,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA
White 1994,Conventional,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White 1994,Conventional,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitman et al 1997,Conventional,NA,NA,Skidders with cables,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitmore et al 1989,Conventional,NA,NA,Skidders with cables,NA,NA,NA,NA,NA,NA,NA,NA,NA
