Study,Site,Volume_pred,Volume,Region,Method
Johns et al 1996,Johns et al 1996-1,30,,Americas,Conventional
Johns et al 1996,Johns et al 1996-2,37,,Americas,Conventional
Jonkers 2000,Jonkers 2000-1,11.8056767283,,Africa,Conventional
Jonkers 2000,Jonkers 2000-2,11.7596346009,,Africa,Conventional
Kao and Iidu 2006,Kao and Iidu 2006-1,13.3807868737,,Africa,Conventional
Medjibe et al 2011,Medjibe et al 2011-1,8.11,,Africa,RIL
Medjibe et al 2013,Medjibe et al 2013-1,5.7,,Africa,RIL
Medjibe et al 2013,Medjibe et al 2013-2,11.4,,Africa,Conventional
Miller et al 2011,Miller et al 2011-1,19.8855371785,,Americas,RIL
Nicholson et al 1979,Nicholson et al 1979-1,37.9,,Asia,Conventional
Nicholson et al 1979,Nicholson et al 1979-4,89.0856957509,,Asia,Conventional
Nicholson et al 1979,Nicholson et al 1979-5,135.0050667091,,Asia,Conventional
Nicholson et al 1979,Nicholson et al 1979-6,123.8354899895,,Asia,Conventional
Nicholson et al 1979,Nicholson et al 1979-7,175.9601813476,,Asia,Conventional
Nicholson et al 1988,Nicholson et al 1988-1,66,,Asia,Conventional
Nicholson et al 1988,Nicholson et al 1988-8,36.6,,Asia,Conventional
Nicholson et al 1988,Nicholson et al 1988-9,42.1,,Asia,Conventional
Parren et al 2001,Parren et al 2001-1,13,,Africa,RIL
Parren et al 2001,Parren et al 2001-2,13,,Africa,Conventional
Pinard and Putz 1996,Pinard and Putz 1996-1,153.5,,Asia,Conventional
Pinard and Putz 1996,Pinard and Putz 1996-2,103.75,,Asia,RIL
Sist and Nguyen 2002,Sist and Nguyen 2002-1,46.8895170325,,Asia,Conventional
Sist and Nguyen 2002,Sist and Nguyen 2002-2,79.1571831112,,Asia,Conventional
Sist and Nguyen 2002,Sist and Nguyen 2002-3,148.6567715886,,Asia,Conventional
Sist et al 2003,Sist et al 2003-1,60,,Asia,RIL
Sist et al 2003,Sist et al 2003-2,83,,Asia,Conventional
Sist et al 2007,Sist et al 2007-1,21,,Americas,RIL
Uhl et al 1991,Uhl et al 1991-1,16,,Americas,Conventional
van de Hout 1999,van de Hout 1999-1,16,,Americas,RIL
van de Hout 1999,van de Hout 1999-2,25.86666667,,Americas,RIL
van de Hout 1999,van de Hout 1999-3,46.93333333,,Americas,RIL
van de Hout 1999,van de Hout 1999-4,50.06666667,,Americas,Conventional
van de Hout 1999,van de Hout 1999-5,25.06666667,,Americas,Conventional
Verissimo et al 1992,Verissimo et al 1992-1,18,,Americas,Conventional
Verissimo et al 1992,Verissimo et al 1992-2,35,,Americas,Conventional
Verissimo et al 1992,Verissimo et al 1992-3,62,,Americas,Conventional
Verissimo et al 1995,Verissimo et al 1995-1,1.3,,Americas,Conventional
Verissimo et al 1995,Verissimo et al 1995-2,2.5,,Americas,Conventional
Verissimo et al 1995,Verissimo et al 1995-3,11.4,,Americas,Conventional
Webb et al 1997,Webb et al 1997-1,45.8,,Americas,Conventional
White 2009,White 2009-1,12.680477158,,Africa,Conventional
White 2009,White 2009-2,12.680477158,,Africa,Conventional
Whitman et al 1997,Whitman et al 1997-1,9.9067693275,,Africa,Conventional
