"Study","Site","Vol.x","Vol2","Trees","Trees2","Region.x"
"Saiful and Latiff 2014","Saiful and Latiff 2014a",73.7,73.7,27,27,"Asia/Africa"
"Villela et al 2006","Villela et al 2006",NA,NA,37,37,"Americas"
"Webb et al 1998","Webb et al 1998",49.2,49.2,6,6,"Americas"
"Webb et al 1998","Webb et al 1998",41.3,41.3,4.7,4.7,"Americas"
"Alongi et al 2008","Alongi et al 2008a",NA,NA,NA,NA,"Asia/Africa"
"Alongi et al 2008","Alongi et al 2008b",NA,NA,NA,NA,"Asia/Africa"
"Alongi et al 2008","Alongi et al 2008c",NA,NA,NA,NA,"Asia/Africa"
"Berry et al 2010","Berry et al 2010a",97.2,97.2,NA,20.153040452593,"Asia/Africa"
"Berry et al 2010","Berry et al 2010b",97.2,97.2,NA,20.153040452593,"Asia/Africa"
"Bryan et al 2010","Bryan et al 2010a",10.7,10.7,NA,1.82692606042021,"Asia/Africa"
"Bryan et al 2010","Bryan et al 2010b",10.7,10.7,NA,1.82692606042021,"Asia/Africa"
"Chambers et al 2005","Chambers et al 2005a",NA,NA,NA,NA,"Americas"
"Chambers et al 2005","Chambers et al 2005b",NA,NA,NA,NA,"Americas"
"Chambers et al 2005","Chambers et al 2005c",NA,NA,NA,NA,"Americas"
"d'Oliveira et al 2012","d'Oliveira et al 2012a",6.9,6.9,NA,1.86658156468505,"Americas"
"Gourlet-Fleury et al 2013","Gourlet-Fleury et al 2013",66,66,5.5,5.5,"Asia/Africa"
"Imai et al 2013","Imai et al 2013a",13.74,13.74,2.36,2.36,"Asia/Africa"
"Imai et al 2013","Imai et al 2013b",NA,NA,NA,NA,"Asia/Africa"
"Kronseder et al 2012","Kronseder et al 2012a",NA,NA,NA,NA,"Asia/Africa"
"Kronseder et al 2012","Kronseder et al 2012b",NA,NA,NA,NA,"Asia/Africa"
"Lasco et al 2006","Lasco et al 2006a",NA,NA,NA,NA,"Asia/Africa"
"Lasco et al 2006","Lasco et al 2006b",NA,NA,NA,NA,"Asia/Africa"
"Lasco et al 2006","Lasco et al 2006c",NA,NA,NA,NA,"Asia/Africa"
"Lasco et al 2006","Lasco et al 2006d",NA,NA,NA,NA,"Asia/Africa"
"Lasco et al 2006","Lasco et al 2006e",NA,NA,NA,NA,"Asia/Africa"
"Lindner et al 2011","Lindner et al 2011",NA,NA,NA,NA,"Americas"
"Mazzei et al 2010","Mazzei et al 2010",21,21,8.4,8.4,"Americas"
"Medjibe et al 2011","Medjibe et al 2011",8.11,8.11,0.82,0.82,"Asia/Africa"
"Pfeifer et al 2014","Pfeifer et al 2013a",179,179,NA,NA,"Asia/Africa"
"Pfeifer et al 2014","Pfeifer et al 2013b",150,150,NA,NA,"Asia/Africa"
"Pfeifer et al 2014","Pfeifer et al 2013c",150,150,NA,NA,"Asia/Africa"
"Pfeifer et al 2014","Pfeifer et al 2013d",150,150,NA,NA,"Asia/Africa"
"Pfeifer et al 2014","Pfeifer et al 2013e",179,179,NA,NA,"Asia/Africa"
"Pfeifer et al 2014","Pfeifer et al 2013f",150,150,NA,NA,"Asia/Africa"
"Pfeifer et al 2014","Pfeifer et al 2013g",179,179,NA,NA,"Asia/Africa"
"Pfeifer et al 2014","Pfeifer et al 2013h",179,179,NA,NA,"Asia/Africa"
"Pfeifer et al 2014","Pfeifer et al 2013i",179,179,NA,NA,"Asia/Africa"
"Pfeifer et al 2014","Pfeifer et al 2013j",179,179,NA,NA,"Asia/Africa"
"Pinard et al 1996","Pinard et al 1996a",154.482125,154.482125,NA,NA,"Asia/Africa"
"Pinard et al 1996","Pinard et al 1996b",103.5835,103.5835,NA,24.0593279971784,"Asia/Africa"
"Rockwell et al 2014","Rockwell et al 2014",10,10,2,2,"Americas"
"Saner et al 2012","Saner et al 2012",117.38,117.38,NA,NA,"Asia/Africa"
"Sist et al 2012","Sist et al 2012a",NA,NA,21,21,"Americas"
"Sist et al 2012","Sist et al 2012b",NA,38.8265924215268,10,10,"Americas"
"Sist et al 2014","Sist et al 2014a",30,30,6.3,6.3,"Americas"
"Tangki et al 2008","Tangki et al 2008",101.2,101.2,NA,22.5192644001965,"Asia/Africa"
